City,State,Country,Shape,Summary,Link
Mexico City,Ciudad de México,Mexico,Disk,I saw a disc shaped craft with lights underneath slowly moving with no noise across the horizon,https://nuforc.org/sighting/?id=18974
Leon de los Aldama,Guanajuato,Mexico,Light,It was around two in the morning my cousin and I were having a conversation ( I was back from a three year tour from Germany) It was a,https://nuforc.org/sighting/?id=42387
Mexico City,Ciudad de México,Mexico,Disk,"clearly a flying suacer, solid, bright, silent , hovering at the top corner of a high rise building then flying away in an instant.",https://nuforc.org/sighting/?id=63209
Comalcalco,Tabasco,Mexico,Other,Big UFO hovering over a house,https://nuforc.org/sighting/?id=155126
Mexico City,Ciudad de México,Mexico,Circle,"MY FAMILY AND I LIVE IN A TWO STORY HOUSE AT THAT TIME, I WAS LOOKING AT THE WINDOW WHEN I SAW A FLYING SOUCER COMING TOUR ON TOP OF TH",https://nuforc.org/sighting/?id=61153
Cabo San Lucas,Baja California Sur,Mexico,Fireball,I witnessed a very large glow in the sky which cannot be attributable to any known aircraft and which descended into the ocean.,https://nuforc.org/sighting/?id=62472
Guadalupe,Nuevo León,Mexico,Egg,It was silent and metalic and reflective.,https://nuforc.org/sighting/?id=32174
Xico,Veracruz,Mexico,Disk,"Eran las 7 u 8 de la noche, cuando al salir de mi casa, desde el patio de la casa, en ese entonces sin techo; voltie hacia el cielo ya",https://nuforc.org/sighting/?id=10550
Cozumel,Quintana Roo,Mexico,Light,"I married a woman from the Mexican island of Cozumel, state of Quintana Roo. This was in 1970. My wife an I opened a store in my brothe",https://nuforc.org/sighting/?id=32347
Ensenada,Baja California,Mexico,Formation,"My brother, a friend, and I witnessed six craft over Baja, Calif, beach in October of 1969",https://nuforc.org/sighting/?id=32448
Monterrey,Nuevo León,Mexico,Circle,two brilliant circles of severals ligths of colours cross the sky in a summer nigth,https://nuforc.org/sighting/?id=38585
Mexicali,Baja California,Mexico,Circle,"UFO  over Mexicali, Mexico - 1960's",https://nuforc.org/sighting/?id=17725
Hermosillo,Sonora,Mexico,Sphere,I was in the northwest side of the town of Hermosillo Sonora (State)Mexico when i saw the Sphere up on the sky north east of the town i,https://nuforc.org/sighting/?id=22233
Mexico City,Ciudad de México,Mexico,Formation,"Direction: West to East Seven lights type foo fighter (intense white neon light) in triangle formation, never ever seen speed. Due to t",https://nuforc.org/sighting/?id=60971
Mexico City,Ciudad de México,Mexico,Unknown,See Below,https://nuforc.org/sighting/?id=171914
Mexicali,Baja California,Mexico,Disk,Large disk observed by townspeople in large Mexican city,https://nuforc.org/sighting/?id=47950
Tenancingo,México,,,,https://nuforc.org/sighting/?id=107943
Playa del Carmen,Quintana Roo,Mexico,Other,3 bird like crafts seen at night.,https://nuforc.org/sighting/?id=107855
Ensenada,Baja California,Mexico,Light,"Static light over the city, it was lowering and raising its brightness intensity.  ((NUFORC Note:  Possible sighting of Venus?  PD))",https://nuforc.org/sighting/?id=107630
Queretaro,Querétaro,Mexico,Oval,"Very smooth, arched flight path.",https://nuforc.org/sighting/?id=106684
Mexico City,Ciudad de México,Mexico,Orb,"On 1/24/14, early am, 10 large orange orbs moved east  towards the Caribbean Sea over the Yucatan.",https://nuforc.org/sighting/?id=106284
Tijuana,Baja California,Mexico,Triangle,Huge triangle shaped craft over Tijuana.,https://nuforc.org/sighting/?id=105704
Monterrey,Nuevo León,Mexico,Fireball,Red and Yellow Flashing Object Moving Very slowly and Some other 4 with the same Shape Flying like in Formation,https://nuforc.org/sighting/?id=105110
Puerto Vallarta,Jalisco,Mexico,Unknown,"Short vapor trail seen at very very high altitude over Puerto Vallarta, flying S to N at 12:10 PM..",https://nuforc.org/sighting/?id=104683
Tijuana,Baja California,Mexico,Light,"Red/orange bright lights around 10, moving very slowly starting a formation.",https://nuforc.org/sighting/?id=106774
Mexico City,Ciudad de México,Mexico,Cross,"Metalic objet in Mexico city.  ((NUFORC Note:  Photos show tiny, blurry, dark objects.  PD))",https://nuforc.org/sighting/?id=100055
Cabo San Lucas,Baja California Sur,Mexico,Other,"((HOAX??))  The sky is very clear filled with an array of stars.  There is a yellowish, slightly reddish starlike object flashing.",https://nuforc.org/sighting/?id=117826
Puerto Vallarta,Jalisco,Mexico,,Missing 2.15 hours with my Aunt while in Mexico ...both of us have no idea,https://nuforc.org/sighting/?id=97261
Cabo San Lucas,Baja California Sur,Mexico,Other,11 +/- white 'dots' around the rising moon in Cabo,https://nuforc.org/sighting/?id=97181
Guadalajara,Jalisco,Mexico,Diamond,Black Pyramidal UFO hovering over a Guadalajara Mexico,https://nuforc.org/sighting/?id=96557
San Jose del Cabo,Baja California Sur,Mexico,Light,Rectangular flash of light fly ¾ of the way across the sky.  It flew across the sky very fast and disappeared ¾ of the way from reachin,https://nuforc.org/sighting/?id=99032
Tepic,Nayarit,Mexico,Light,Three orange lights moving and hovering in Mexico.,https://nuforc.org/sighting/?id=96250
San Carlos Yautepec,Oaxaca,Mexico,Oval,"On the beach in Mexico I saw a flat oval shaped bright shiny UFO high in the sky which hovered, turned and disappeard after 90 seconds.",https://nuforc.org/sighting/?id=95937
Monterrey,Nuevo León,Mexico,Light,Red light approaching stopped his movement.,https://nuforc.org/sighting/?id=94764
Puerto Vallarta,Jalisco,Mexico,Disk,"Off the balcony of our hotel in Puerto Vallarta, Mexico, my fiancé and myself observed 4 bright orange lights.  Others appeared, too.",https://nuforc.org/sighting/?id=92080
San Jose del Cabo,Baja California Sur,Mexico,Light,3 UFO’s holding a triangular position adjacent to the moon for 2+ hours.,https://nuforc.org/sighting/?id=88029
Puerto Vallarta,Jalisco,Mexico,Light,"There were two lights that were white and blue moving abnormally fast near the Sierra Madre Mountains in Puerto Vallarta, Jalisco, MX",https://nuforc.org/sighting/?id=87166
Puerto Vallarta,Jalisco,Mexico,Other,"8 oranges lights with 3 dropping something into the ocean at Puerto Vallarta on 9  February 2012, at 23:00hrs.",https://nuforc.org/sighting/?id=87120
Puerto Escondido,Oaxaca,Mexico,Sphere,"A sphere, changing from orange to white, passed over my home at around 7:30-7:40 tonight. There was no sound, but it was traveling at a",https://nuforc.org/sighting/?id=86885
Puerto Vallarta,Jalisco,Mexico,Light,"Orange light in sky, silent, moving slowly.",https://nuforc.org/sighting/?id=86499
Mexico City,Ciudad de México,Mexico,Light,1 White Light that Looked Like Moving Star. 2nd White Light Same but disappeared a few seconds later.,https://nuforc.org/sighting/?id=86035
Tijuana,Baja California,Mexico,Fireball,"Fireballs in Tijuana,Mexico s night sky  Dec 23 2011",https://nuforc.org/sighting/?id=85669
Monterrey,Nuevo León,Mexico,Light,An orange ball of light was faster than a plane or helicopter and disappeared,https://nuforc.org/sighting/?id=87855
San Jose del Cabo,Baja California Sur,Mexico,Unknown,"UFO appeared, got fuzzy, disappeared, full moon appeared for few seconds then disappeared",https://nuforc.org/sighting/?id=85580
Playa del Carmen,Quintana Roo,Mexico,Light,"Three sets of three red-coral neon lights in line, ""following"" one another, from mainland crossing to Cozumel island, in México",https://nuforc.org/sighting/?id=84998
Tijuana,Baja California,Mexico,Sphere,fireball,https://nuforc.org/sighting/?id=84962
San Jose del Cabo,Baja California Sur,Mexico,Light,"Flashing On and Off Star-Like light over San Jose del Cabo, Baja Sur, Mexico",https://nuforc.org/sighting/?id=84217
Cabo San Lucas,Baja California Sur,Mexico,Other,Black flying object over Cabo San Lucas Hotel.  Had red lights coming from it from a distance.,https://nuforc.org/sighting/?id=83725
Santiago Juxtlahuaca,Oaxaca,Mexico,Oval,flying flourescent lighted object that change directions fast.,https://nuforc.org/sighting/?id=84260
Torreon,Coahuila,Mexico,Cigar,2 cigar like objects,https://nuforc.org/sighting/?id=81872
Mexico City,Ciudad de México,Mexico,Disk,"I was lying on the ground looking out the window at the sky and was listening to my iPod , suddenly I started hearing static on it and",https://nuforc.org/sighting/?id=80955
Mexico City,Ciudad de México,Mexico,Unknown,Boomerang shaped UFO noticed in viral youtube video clip.  ((NUFORC Note:  Possible bird in hovering flight??  PD)),https://nuforc.org/sighting/?id=80611
Punta Prieta,Baja California,Mexico,Formation,Punta Mita Mexico. 8 inverted wing shape lights criss crossing each other.Appeared  like white lit birds in the dark sky,https://nuforc.org/sighting/?id=80521
Cabo San Lucas,Baja California Sur,Mexico,Unknown,"Regular appearing and disappearing blinking lights over Cabo San Lucas, Mexico",https://nuforc.org/sighting/?id=80412
San Luis Potosi,San Luis Potosí,Mexico,Other,Strange silent object hovering over my daughters bed,https://nuforc.org/sighting/?id=98709
Tampico,Tamaulipas,Mexico,Disk,"UFO picture taken over the Tamesi River in Tampico, Mexico",https://nuforc.org/sighting/?id=78698
Morelia,Michoacán,Mexico,Light,Strange lights in Morelia Mexico,https://nuforc.org/sighting/?id=78625
Morelia,Michoacán,Mexico,Orb,Huge blue lights over Morelia Mexico,https://nuforc.org/sighting/?id=78628
Morelia,Michoacán,Mexico,Light,"Amendment to prior form from Morelia, Mexico",https://nuforc.org/sighting/?id=78555
Queretaro,Querétaro,Mexico,,"published in a local diary ""diario de queretaro"", it says many people have seen UFO's in my city, The date of the newspaper is 10/25/20",https://nuforc.org/sighting/?id=76839
Xico,Veracruz,Mexico,Chevron,A small ovni in Mexicos Sky,https://nuforc.org/sighting/?id=76279
Tulum,Quintana Roo,Mexico,Disk,You can clearly see a metallic disc craft in the top right corner of the photo above the mayan ruin. ((NUFORC Note:  Bird?  PD)),https://nuforc.org/sighting/?id=75342
San Felipe,Guanajuato,Mexico,Light,Huge Bright White Light Flash in Desert Baja Sky,https://nuforc.org/sighting/?id=77581
Progreso,Yucatán,Mexico,Triangle,2 large spacecrafts emitting 12+ spherical objects with incredible speed and agility.,https://nuforc.org/sighting/?id=74903
Cancun,Quintana Roo,Mexico,Triangle,The object was glowing green and red. At times it went to just green and then white. Was usually green for the most part with red,https://nuforc.org/sighting/?id=74153
Progreso,Yucatán,Mexico,,I was in the back yard next to the pool.  I live close to the ocean in a lonely place.  Sky was clear after a lot of rayni days.  I was,https://nuforc.org/sighting/?id=73955
Jilotepec,México,Mexico,Diamond,AVISTAMIENTO DE OVNI SOBRE MEXICO.,https://nuforc.org/sighting/?id=71613
Xalapa,Veracruz,Mexico,Other,Lighted circular craft flying over power plant in Mexico.,https://nuforc.org/sighting/?id=78630
Puerto Vallarta,Jalisco,Mexico,Sphere,Huge Sphere over  Puerto Vallarta Mexico,https://nuforc.org/sighting/?id=69637
Mexico City,Ciudad de México,Mexico,Sphere,The object was clearly flying over the Pyramids in Mexico City,https://nuforc.org/sighting/?id=69510
Ensenada,Baja California,Mexico,Circle,"Walking along some hills east of Ensenada, Mexico with friends we saw three metalic balls at the top of a hill. At first we thought the",https://nuforc.org/sighting/?id=69331
Cancun,Quintana Roo,Mexico,Light,"While on vacation in Cancun Mexico we stayed in the hotel  zone. On Sunday night March 15, 2009 at approximately 8:15 p.m., we were sit",https://nuforc.org/sighting/?id=69395
Cancun,Quintana Roo,Mexico,Cigar,"cigar-shaped orange emitting light over the beach in Cancun, Mexico",https://nuforc.org/sighting/?id=69190
Hermosillo,Sonora,Mexico,Light,I have captured a strange light when I took a photo from the moon in N Mexico.  ((NUFORC Note:  Lens flare??  PD)),https://nuforc.org/sighting/?id=69411
Puerto Escondido,Oaxaca,Mexico,Sphere,Multiple Orange & Red Spheres Over Southern Mexico,https://nuforc.org/sighting/?id=67569
Mexico City,Ciudad de México,Mexico,Sphere,Sphere with clear halo seen in Mexico City,https://nuforc.org/sighting/?id=67555
Mexicali,Baja California,Mexico,Triangle,triangular shaped 3 lights incredible from north to south low to very high altitude aircraft event about 1 min. long.,https://nuforc.org/sighting/?id=102891
Xico,Veracruz,Mexico,Light,Ball of light following plane for hours.,https://nuforc.org/sighting/?id=70412
San Jose del Cabo,Baja California Sur,Mexico,Fireball,Orange fiery shapes at just above sea level  travelling in southern direction toward Cabo San Lucas,https://nuforc.org/sighting/?id=66087
Cuernavaca,Morelos,Mexico,Flash,"Two star-like objects sighted in Cuernavaca, Mexico, one flashed and then both disappeared.",https://nuforc.org/sighting/?id=66036
Tlaltenango de Sanchez Roman,Zacatecas,Mexico,Oval,"((HOAX))  UFO ON THE MIDDLE OF ZACATECAS, MEXICO",https://nuforc.org/sighting/?id=65488
Cuernavaca,Morelos,Mexico,Cylinder,Cane shaped object spinning slowly,https://nuforc.org/sighting/?id=65466
Playa del Carmen,Quintana Roo,Mexico,Circle,"ufo seen in playa del carmen, mexico",https://nuforc.org/sighting/?id=77431
Guadalajara,Jalisco,Mexico,Other,"amorphous, floating balloon-like object in the sky",https://nuforc.org/sighting/?id=61600
San Martin Texmelucan de Labastida,Puebla,Mexico,Oval,"UFO over San Carlos, Sonora, Mexico.  ((NUFORC Note:  Lens flares.  PD))",https://nuforc.org/sighting/?id=61496
Puerto Vallarta,Jalisco,Mexico,Cone,"They came from the West, changed directions numerous times and were very visible to the naked eye.",https://nuforc.org/sighting/?id=62328
Puerto Vallarta,Jalisco,Mexico,Circle,two round objects travelled in complete silence over water as I watched from my hotel room,https://nuforc.org/sighting/?id=61493
Cancun,Quintana Roo,Mexico,Light,Two bright lights zigzaging over Cancun,https://nuforc.org/sighting/?id=61646
Nuevo Laredo,Tamaulipas,Mexico,Fireball,bright ball seen in the northern sky traveling south from Nuevo Leon Mexico,https://nuforc.org/sighting/?id=66068
Mexico City,Ciudad de México,Mexico,Light,SHOOTING STAR TURNS OUT TO BE SOMETHING ELSE,https://nuforc.org/sighting/?id=60700
Mexico City,Ciudad de México,Mexico,Sphere,An orange sphere traveling from east to west at an incredible speed,https://nuforc.org/sighting/?id=60644
Puerto Escondido,Oaxaca,Mexico,Sphere,Orange shpere over southern Mexico,https://nuforc.org/sighting/?id=60452
San Jose del Cabo,Baja California Sur,Mexico,,"Bright light over San Jose del Cabo, Baja Mexico around 4:00 AM. About 35 degrees above the horizon moving slowly to west.",https://nuforc.org/sighting/?id=62537
Santa Maria Huatulco,Oaxaca,Mexico,Sphere,"Huatulco ufo. Brown disc shape, flat sides. ""Windows"" showing.",https://nuforc.org/sighting/?id=59925
Ciudad Sabinas Hidalgo,Nuevo León,Mexico,Other,"Object in the form of ""number 3 (3), with a faint light reddish white in each of its three ends traveling with uniform speed to the sou",https://nuforc.org/sighting/?id=119342
Mexico City,Ciudad de México,Mexico,Changing,"Triangular craft sighted in Mexico City, October 2007.",https://nuforc.org/sighting/?id=58579
Mexico City,Ciudad de México,Mexico,Other,Unfamiliar vessel spotted from airplane nearing Gulf of Mexico.,https://nuforc.org/sighting/?id=57222
Mexico City,Ciudad de México,Mexico,Orb,two bright white orbs  come from northwest heading southwest no  sound.  ((NUFORC Note:  Space Shuttle w/ ISS??  PD)),https://nuforc.org/sighting/?id=57150
Monterrey,Nuevo León,Mexico,Disk,MEXICAN GOVERNMENT OFFICIALS RECOVER AND CONFISCATE OBJECT THAT FELL FROM SKY,https://nuforc.org/sighting/?id=56375
Cancun,Quintana Roo,Mexico,Unknown,"Star like object on northerly course makes 120 degree turn, moves erratically and stops, vanishes",https://nuforc.org/sighting/?id=56220
Puerto Vallarta,Jalisco,Mexico,Unknown,"UFO Puerto Valarta Captured On Photo April 07, 2007",https://nuforc.org/sighting/?id=56183
Puerto Vallarta,Jalisco,Mexico,Oval,"UFO Captured in Photo - Puerto Vallarta , Mexico",https://nuforc.org/sighting/?id=56188
Tijuana,Baja California,Mexico,Sphere,circule on the sun in the midtle of it. 5 or 6 pictures same mark diferent camera.,https://nuforc.org/sighting/?id=55604
Cancun,Quintana Roo,Mexico,Light,We observed a faint orange-red light coming from the north,https://nuforc.org/sighting/?id=55367
Culiacan,Sinaloa,Mexico,Unknown,Dark round hole in the clouds.,https://nuforc.org/sighting/?id=56500
Cancun,Quintana Roo,Mexico,Other,"Saw an unidentified craft with outstanding maneuverablility and silent operation on the coast of Cancun, Mexico.",https://nuforc.org/sighting/?id=54266
Ensenada,Baja California,Mexico,Triangle,Trianglular mute lightened craft.,https://nuforc.org/sighting/?id=54267
Puerto Vallarta,Jalisco,Mexico,Circle,"bright orange light over puerto vallarta, mex.  new years 1am.",https://nuforc.org/sighting/?id=54107
