City,State,Lat,Lng,ID
Mexico City,Ciudad de México,19.4333,-99.1333,1484247881
Guadalajara,Jalisco,20.6767,-103.3475,1484950208
Monterrey,Nuevo León,25.6667,-100.3,1484559591
Tijuana,Baja California,32.525,-117.0333,1484708778
Ecatepec,México,19.6097,-99.06,1484003694
Leon de los Aldama,Guanajuato,21.1167,-101.6833,1484811199
Puebla,Puebla,19.0333,-98.1833,1484416394
Zapopan,Jalisco,20.7167,-103.4,1484198680
Juarez,Chihuahua,31.745,-106.485,1484840083
Mexicali,Baja California,32.6633,-115.4678,1484788702
Nezahualcoyotl,México,19.4081,-99.0186,1484074285
Ciudad Nezahualcoyotl,México,19.4006,-99.0148,1484016661
Morelia,Michoacán,19.7683,-101.1894,1484669072
Aguascalientes,Aguascalientes,21.876,-102.296,1484666646
Naucalpan de Juarez,México,19.4753,-99.2378,1484850125
Merida,Yucatán,20.97,-89.62,1484396779
Cancun,Quintana Roo,21.1606,-86.8475,1484010310
Chihuahua,Chihuahua,28.6369,-106.0769,1484335603
Saltillo,Coahuila,25.4231,-100.9919,1484107245
El Dorado,Sinaloa,24.808,-107.397,1484719986
Hermosillo,Sonora,29.0989,-110.9542,1484015319
Culiacan,Sinaloa,24.8069,-107.3939,1484516810
Queretaro,Querétaro,20.5875,-100.3928,1484604775
San Luis Potosi,San Luis Potosí,22.1511,-100.9761,1484583620
Guadalupe,Nuevo León,25.6775,-100.2597,1484002410
Acapulco de Juarez,Guerrero,16.8636,-99.8825,1484463183
Tlaquepaque,Jalisco,20.6167,-103.3167,1484087945
Durango,Durango,24.025,-104.6675,1484854616
Tlalnepantla,México,19.5367,-99.1947,1484861603
Chimalhuacan,México,19.4167,-98.9,1484504936
Irapuato,Guanajuato,20.6667,-101.35,1484625454
Reynosa,Tamaulipas,26.0922,-98.2778,1484737671
Tuxtla,Chiapas,16.7528,-93.1167,1484832519
Tonala,Jalisco,20.6167,-103.2333,1484750897
Cuautitlan Izcalli,México,19.65,-99.25,1484282338
Ixtapaluca,México,19.3186,-98.8822,1484452937
Heroica Matamoros,Tamaulipas,25.8797,-97.5042,1484614906
Ciudad Apodaca,Nuevo León,25.7817,-100.1886,1484855080
Tultitlan de Mariano Escobedo,México,19.645,-99.1694,1484562374
Mazatlan,Sinaloa,23.2167,-106.4167,1484841466
Ciudad Lopez Mateos,México,19.55,-99.2833,1484363879
Ensenada,Baja California,31.8578,-116.6058,1484714297
San Nicolas de los Garza,Nuevo León,25.75,-100.2833,1484264138
Veracruz,Veracruz,19.1903,-96.1533,1484992153
Xalapa,Veracruz,19.54,-96.9275,1484334948
Nuevo Laredo,Tamaulipas,27.4861,-99.5069,1484597234
Celaya,Guanajuato,20.5222,-100.8122,1484979555
Nicolas Romero,México,19.5833,-99.3667,1484589606
Tecamac,México,19.7131,-98.9683,1484363321
Minatitlan,Veracruz,17.9833,-94.55,1484735713
Villahermosa,Tabasco,17.9892,-92.9281,1484460894
Gomez Palacio,Durango,25.5611,-103.4983,1484092318
Cuernavaca,Morelos,18.9186,-99.2342,1484926471
Uruapan,Michoacán,19.4208,-102.0628,1484051478
Tepic,Nayarit,21.5083,-104.8931,1484433877
Soledad de Graciano Sanchez,San Luis Potosí,22.1833,-100.9333,1484610487
Ciudad Obregon,Sonora,27.4939,-109.9389,1484887986
Salamanca,Guanajuato,20.5703,-101.1972,1484741627
Guasavito,Sinaloa,25.5744,-108.4706,1484662260
Tehuacan,Puebla,18.4617,-97.3928,1484817336
Coatzacoalcos,Veracruz,18.15,-94.4333,1484016854
Chalco,México,19.2647,-98.8975,1484834149
Ciudad Benito Juarez,Nuevo León,25.65,-100.0833,1484140727
Ciudad Santa Catarina,Nuevo León,25.6833,-100.45,1484858068
Ciudad Victoria,Tamaulipas,23.7389,-99.1431,1484616519
Playa del Carmen,Quintana Roo,20.6281,-87.0755,1484559458
San Juan del Rio,Querétaro,20.3833,-99.9833,1484890205
Oaxaca,Oaxaca,17.0606,-96.7253,1484301467
Ciudad General Escobedo,Nuevo León,25.7933,-100.1583,1484345554
Los Mochis,Sinaloa,25.7835,-108.9937,1484443585
Pachuca,Hidalgo,20.1,-98.75,1484575026
Tampico,Tamaulipas,22.2553,-97.8686,1484060031
Coacalco,México,19.6333,-99.0931,1484929782
Huixquilucan,México,19.3611,-99.3508,1484187110
Nogales,Sonora,31.3,-110.9333,1484793569
Heroica Nogales,Sonora,31.3186,-110.9458,1484364591
La Paz,Baja California Sur,24.1422,-110.3108,1484005187
Campeche,Campeche,19.85,-90.5306,1484431512
Carmen,Campeche,18.6431,-91.8306,1484620016
Monclova,Coahuila,26.9103,-101.4222,1484281759
Garcia,Nuevo León,25.8167,-100.5833,1484753599
Fresnillo,Zacatecas,23.175,-102.8675,1484014035
Puerto Vallarta,Jalisco,20.6458,-105.2222,1484408906
Toluca,México,19.2925,-99.6569,1484124846
Tapachula,Chiapas,14.9,-92.2667,1484997178
Jiutepec,Morelos,18.8833,-99.1667,1484001709
Comalcalco,Tabasco,18.2801,-93.2018,1484317909
Guadalupe,Zacatecas,22.7528,-102.5078,1484781342
Zamora,Michoacán,19.9833,-102.2833,1484229977
Cordoba,Veracruz,18.8942,-96.9347,1484179679
Ciudad Madero,Tamaulipas,22.25,-97.8333,1484185237
